# source: Natural Earth 1:10m Cultural Vectors, Populated Places (ne_10m_populated_places)
# url: https://raw.githubusercontent.com/nvkelso/natural-earth-vector/ca96624a56bd078437bca8184e78163e5039ad19/geojson/ne_10m_populated_places.geojson
# sha256: 9b8e3de09048ef00dfc70357dbb9fa324493f214b5e0ae4daf1aa79a8d10116b
# retrieved: 2026-09-13
# licence: public domain, https://www.naturalearthdata.com/about/terms-of-use/
# generator: tools/geodata/natural_earth_cities.py
# columns: neId,country,region,latitude,longitude,timeZone,population,en,ar,bn,de,es,fa,fr,hi,id,ja,ru,tr,ur,zh
1159112629	UY	Colonia	-34.46979	-57.83612	America/Montevideo	21714	Colonia del Sacramento	كولونيا ديل ساكرامنتو	কোলোনিয়া দেল সাক্রামেন্তো			کولونیا دل ساکرامنتو		कोलोनिया डेल सैक्रमेंटो		コロニア・デル・サクラメント	Колония-дель-Сакраменто		کولونیا دیل ساکرامینتو	科洛尼亞·德爾·沙加緬度
1159112647	UY	Flores	-33.54400	-56.90100	America/Montevideo	21093	Trinidad	ترينيداد	ত্রিনিদাদ			ترینیداد		त्रिनिडाड		トリニダ	Тринидад		ترینیداد	特立尼达
1159112663	UY	Río Negro	-33.13900	-58.30400	America/Montevideo	23279	Fray Bentos	فراي بنتوس	ফ্রায় বেন্তোস			فری بنتوس		फ्राई बैन्टोस		フライ・ベントス	Фрай-Бентос		فرای بینتوس	弗赖本托斯
1159112679	UY	Canelones	-34.53800	-56.28400	America/Montevideo	19698	Canelones	كانلونيس	কানেলোন্স			کنلونس		कैनेलोन्स		カネローネス	Канелонес		کانیلونس	卡内洛内斯
1159112703	UY	Florida	-34.09900	-56.21500	America/Montevideo	32234	Florida	فلوريدا	ফ্লোরিদা			فلوریدا		फ्लोरिडा		フロリダ	Флорида	Flordia	فلوریدا	佛罗里达
1159112719	TG	Kara	9.26100	0.78900	Africa/Lome	61845	Bassar	باسار	বাসসার			باسار		बस्सर		バサッリ	Басар		بسار	巴萨
1159112735	TG	Centre	8.55700	0.98500	Africa/Lome	21054	Sotouboua	سوتاوبوا	সোতোউবুয়া			سوتوبوئا		सौतोबुआ		ソトゥブア	Сотубуа		سوتوبوا	索圖布阿
1159112749	TN	MUdenine	33.40000	10.41670		61705	Medenine	مدنين	মেদেনাইন		Médenine	مدنین	Médenine	मेडेनाइन		メドニン	Меденин	Medenin	مدنین	梅德宁
1159112765	TN	Kebili	33.69000	8.97100	Africa/Tunis	19875	Kebili	قبلي	কেবিলি			قبلی	Kébili	केबिली		ケビリ	Кебили	Kabili	قبلی	吉比利
1159112779	TN	Tataouine	33.00000	10.46670	Africa/Tunis	62577	Tataouine	تطاوين	তাতাওউনি			تطاوین		ततौइन		タタウイヌ	Татавин	Tatavin	تطاوین	泰塔温
1159112795	TN	Manubah	36.86667	10.20000		97687	Aryanah	أريانة	আরিয়া	Ariana	Ariana	اریانه	Ariana	आर्यणाह		アリアナ	Арьяна	Aryana	آریانہ	艾尔亚奈
1159112811	TN	Jendouba	36.50000	8.75000	Africa/Tunis	51408	Jendouba	جندوبة	জেন্দৌবা			جندوبه		जेन्दाऊबा		ジェンドゥーバ	Джендуба	Cendube	جندوبہ	坚杜拜
1159112827	TN	Kasssrine	35.21670	8.71670		76243	Kasserine	القصرين	ক্যাসারাইন			القصرین		कैसरीन		カスリーヌ	Кассерин	Kassarin	قصرین	卡塞林
1159112843	TN	Sidi Bou Zid	35.01670	9.50000	Africa/Tunis	42098	Sidi Bouzid	سيدي بوزيد	স্			سیدی بوزید		सिदी बाउज़िद		シディ・ブジド	Сиди-Бузид	Sidi Bu Zeyd	سیدی بوزید	西迪布济德
1159112859	TN	Siliana	36.08330	9.38330	Africa/Tunis	26960	Siliana	سليانة	সিলিজানা			سلیانه		सिलिआना		シリアナ	Сильяна	Silyana	سلیانہ	錫勒亞奈
1159112873	TN	Mahdia	35.48391	11.04088		45977	Mahdia	المهدية	মাদিয়া			المهدیه		मेहदिया		マーディア	Махдия	Mehdiye	مہدیہ	马赫迪耶
1159112893	TN	Monastir	35.73070	10.76730		71546	Monastir	المنستير	মোনাস্তির			المنستیر		मोनास्टिर		モナスティル	Монастир	Munastır	منستیر	莫纳斯提尔
1159112913	TN	Zaghouan	36.40000	10.14700	Africa/Tunis	16911	Zaghouan	زغوان	জাঘুয়ান			زغوان		ज़ागुआन		ザグーアン	Загван	Zağvan	زیگوان	宰格万
1159112935	VN	Tây Ninh	11.32300	106.14700	Asia/Ho_Chi_Minh	126370	Tây Ninh	تاي ننه	তায় নিন		Tay Ninh	تای نینها		तै निन्ह		タイニン	Тэйнинь	Tay Ninh	تائی نن	西宁
1159112955	VN	Vi?n Bi	21.74000	103.34301		7335	Luan Chau	لوان تشاو	লুয়ান চাউ			لوآن چائو		लुआन चाउ		ルアンチャウ	Луан-Чау		لوان چاؤ	莱洲
1159112975	VN	Ðông B?c	22.13333	105.83333	Asia/Ho_Chi_Minh	29227	Bắc Kạn	باك كان	বাক কান			باک کان		बैक कान		バックカン	Баккан		باک کان	北𣴓
1159112987	VN	L?ng Son	21.84600	106.75700	Asia/Ho_Chi_Minh	148000	Lạng Sơn	لانج سون	লাং সন			لانگ سون		लैंग सोन		ランソン市	Лангшон	Lang Son	لیننج سون	谅山
1159113001	VN	Son La	21.32800	103.91000	Asia/Ho_Chi_Minh	19054	Sơn La	سون لا	সো'ন লা			سون لا		सोनला		ソンラ	Шонла	Son La	سون لا	山罗
1159113019	VN	Tuyên Quang	21.81800	105.21100	Asia/Ho_Chi_Minh	36430	Tuyên Quang	توين كوانج	তুয়েন কুয়াং	Tuyen Quang		توین کوانگ		टुयेन क़ुअंग		トゥエンクアン	Туенкуанг	Tuyen Quang	تویین قوانج	宣光
1159113041	VN	Yên Bái	21.70500	104.87500	Asia/Ho_Chi_Minh	96540	Yên Bái	ين باي	ইয়েন বাই			ین بای		येन बाई		イエンバイ	Йенбай	Ten Bai	یین با	安沛
