# source: GeoNames gazetteer, Iran (IR) — administrative divisions, admin level 1 (province) and 2 (county / shahrestan)
# url: https://download.geonames.org/export/dump/IR.zip
# sha256: a508c1962f00e637217e42b114d9dec1187abe6db73a9db56731f60dc0d9541f
# altnames-source: GeoNames alternate names, Iran (IR) — fa/ps/ckb/az/uz/ms/tg/ne/ta names by geonameid, plus kmr from the Latin-script (Hawar-alphabet) half of the generic `ku` tag (DT-020; prs checked and not usable, see this file's generator docstring)
# altnames-url: https://download.geonames.org/export/dump/alternatenames/IR.zip
# altnames-sha256: 52a2f2c70206baa69bc3c9fc65c0426751affb501d3042ff384c9fa20ee19b8e
# retrieved: 2026-09-25
# licence: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/ (GeoNames, https://www.geonames.org/about.html); config/license/allowed-licenses.json dataLicenses, ADR-0039
# generator: tools/geodata/geonames_iran_divisions.py
# notes: no district (admin level 3 / bakhsh) rows — GeoNames' Iran admin3 coverage is 7 records, far short of the real count (docs/DATA_TODO.md DT-021); a division with no published alternate name in a language has an empty field for it; coverage per language (of 466 divisions): fa=463, ps=31, ckb=30, az=32, uz=31, ms=31, tg=32, ne=1, ta=30, kmr=31
# columns: code,level,parentCode,en,latitude,longitude,fa,ps,ckb,az,uz,ms,tg,ne,ta,kmr
44	PROVINCE		Alborz Province	36.01117	50.80956	البرز	البرز ولايت	پارێزگای ئەلبورز	Əlburz ostanı	Alborz viloyati	Alborz Province	Устони Албурз		அல்போன்ஸ் மாகாணம்	Elborz
32	PROVINCE		Ardabil Province	38.50000	48.00000	اردبيل	اردبيل ولايت	پارێزگای ئەردەوێڵ	Ərdəbil ostanı	Ardabil viloyati	Ardabil	Устони Ардабел		அர்டாபில் மாகாணம்	Erdebîl
22	PROVINCE		Bushehr Province	28.75000	51.50000	بوشهر	بوشهر ولايت	پارێزگای بووشێھر	Buşehr ostanı	Bushehr	Bushehr	Бушеҳр		புஷெர் மாகாணம்	Bûşehr
03	PROVINCE		Chaharmahal and Bakhtiari Province	32.16667	50.75000	چهارمحال و بختیاری	چار محل و بختياري	پارێزگای چوارمەحاڵ و بەختیاری	Çahar-Mahal və Bəxtiyari ostanı	Chahormahol va Baxtiyoriy ustoni	Chaharmahal dan Bakhtiari	Устони Чаҳормаҳолу Бахтиёрӣ		சஹ்ரமஹால் அண்ட் பாக்ஹ்டிரி மாகாணம்	Çarmihal û Bextiyarî
33	PROVINCE		East Azerbaijan Province	38.00000	46.75000	آذربایجان شرقی	مشرقي ازربايجان	پارێزگای ئازەربایجانی ڕۆژھەڵات	Şərqi Azərbaycan ostanı	Sharqiy Ozarbayjon ustoni	Azarbaijan Timur	Устони Озарбойҷони шарқӣ		கிழக்கு அஜர்பைஜான் மாகாணம்	Azerbaycana Rojhilat
07	PROVINCE		Fars Province	29.00000	53.00000	فارس	د فارس ولايت	پارێزگای فارس	Fars ostanı	Fors	Fars	Фарс		பார்ஸ் மாகாணம்	Fars
08	PROVINCE		Gilan Province	37.16667	49.50000	گیلان	گيلان	پارێزگای گێڵان	Gilan ostanı	Gilon	Gilan	Устони Гелон		கிளன் மாகாணம்	Gîlan
37	PROVINCE		Golestan Province	37.25000	55.00000	گلستان	گلستان ولایت	پارێزگای گوڵستان	Gülüstan ostanı	Guliston ustoni	Golestan	Устони Гулистон		கோலெஸ்டன் மாகாணம்	Gulistan
09	PROVINCE		Hamadan Province	34.83333	48.58333	همدان	همدان ولايت	پارێزگای ھەمەدان	Həmədan ostanı	Hamadon ustoni	Hamedan	Устони Ҳамадон	हामादान क्षेत्र	அமாதான் மாகாணம்	Hemedan
11	PROVINCE		Hormozgan Province	27.75000	56.50000	هرمزگان	هرمزگان	پارێزگای ھورمزگان	Hörmüzgan ostanı	Hurmuzgon ustoni	Hormozgan	Ҳурмузгон		ஹொர்மொஸ்கான் மாகாணம்	Hurmizgan
10	PROVINCE		Ilam Province	33.16667	47.00000	ایلام	ايلام ولايت	پارێزگای ئیلام	İlam ostanı	Ilom ustoni	Ilam	Устони Элом		இலாம் மாகாணம்	Îlam
28	PROVINCE		Isfahan Province	33.00000	52.16667	اصفهان	د اصفهان ولايت	پارێزگای ئەسفەھان	İsfahan ostanı	Isfahon viloyati	Isfahan	Устони Исфаҳон		இசுபான் மாகாணம்	Îsfehan
29	PROVINCE		Kerman Province	29.75000	57.25000	کرمان	د کرمان ولايت	پارێزگای کرمان	Kirman ostanı	Kirmon viloyati	Kerman	Устони Кирмон		கெர்மன் மாகாணம்	Kirman
13	PROVINCE		Kermanshah Province	34.41667	46.75000	كرمانشاه	کرمانشاه ولايت	پارێزگای کرماشان	Kirmanşah ostanı	Kirmonshoh viloyati	Kermanshah	Устони Кирмоншоҳ		கெர்மன்ஷாஹ் மாகாணம்	Kirmaşan
15	PROVINCE		Khuzestan Province	31.50000	49.00000	خوزستان	خوزستان		Xuzistan	Xuziston	Khuzestan	Хӯзистон			Xûzistan
05	PROVINCE		Kohgiluyeh and Boyer-Ahmad Province	30.83333	50.66667	کهگیلویه و بویراحمد	کهگلويه و بويراحمد	پارێزگای کۆھگیلوویە و بۆیرەحمەد	Kohgiluyə və Boyer-Əhməd ostanı	Koʻhgiluya va Buyir-Ahmad ustoni	Kohkiluyeh dan Buyer Ahmad	Устони Куҳгилӯя ва Буйир Аҳмад		கோகிலுயே	Kûgîluyî û Buwêr Ehmed
16	PROVINCE		Kurdistan Province	35.66667	47.00000	کردستان	کردستان ولايت	پارێزگای کوردستان	Kürdüstan ostanı	Kurdiston ustoni	Kurdistan	Устони Курдистон		குர்டிஸ்டான் மாகாணம்	Parêzgeha Kurdistan
23	PROVINCE		Lorestan Province	33.50000	48.50000	لرستان	لرستان ولایت	پارێزگای لوڕستان	Luristan ostanı	Luriston	Lorestan	Устони Луристон		லொரெஸ்டன் மாகாணம்	Luristan
34	PROVINCE		Markazi Province	34.33333	49.83333	مرکزی	مرکزي	پارێزگای مەرکەزی	Mərkəzi ostanı	Markaziy ustoni	Markazi	Устони Марказӣ		மார்கசி மாகாணம்	Merkezî
35	PROVINCE		Mazandaran Province	36.25000	52.33333	مازَندَران	مازندارن	پارێزگای مازەندەران	Mazandaran ostanı	Mozandaron	Mazandaran	Устони Мозандарон		மாசாந்தரான் மாகாணம்	Mazenderan
