# DT-019 review queue: the 132 UN international days added to dataset/international/un-international-days.json on
# 2026-09-23 (R07/D-05, ADR-0042) with a machine-translated Persian title marked `titleReview: ["fa"]`, because no
# primary Persian source (UNIC Tehran or the United Nations in Iran) names them. This file used to be a sourcing
# blocker (these days were excluded from the dataset); it is now a review queue: each row is a record already
# shipped, whose `fa` title still needs a human reviewer, ideally checked against a native Persian source when one
# appears. Reviewing a row means editing the record's `fa` title in the dataset and removing "fa" from its
# `titleReview` array (docs/i18n/TRANSLATING.md's `MT: needs review` marker is the same idea for app strings).
# the archived UN Information Centre Tehran list (2012-10-05) and every reachable Persian page of iran.un.org and of the UNIC Tehran archive were searched on 2026-09-18; these days are named on none of them
# 2026-09-23 (R07/D-05 re-check, docs/data-todo/un-days-sourcing.md): iran.un.org's newest posts (through 2026-09-21) were re-checked and name no day of this list; two days newly proclaimed since the 2026-09-18 pass were added: World Turkic Language Family Day (un.world-turkic-language-family-day, UNESCO 2025) and International Day of Recognition for Women Searchers of Missing Persons (un.women-searchers-missing-persons-day, UN GA 2026) — both too recent for a Persian source to exist yet
# the 10 international weeks on the UN list are now shipped as `Week` rule records (ADR-0046, DT-041, 2026-09-24); like the 132 days above, none has an official Persian source, so each carries a machine-translated title and is queued below for review: un.interfaith-harmony-week, un.racism-solidarity-week, un.immunization-week, un.non-self-governing-week, un.breastfeeding-week, un.science-and-peace-week, un.amr-awareness-week, un.media-information-literacy-week, un.space-week, un.disarmament-week
# Vesak (UN GA res. 54/115) is tracked separately as DT-040: its blocker is a missing rule type (the day of the full moon in May), not a missing Persian title
# columns: dataset id	English title (dataset)	official source page (observance page, or resolution/proclamation document)
un.braille-day	World Braille Day	https://www.un.org/en/observances/braille-day
un.peaceful-coexistence-day	International Day of Peaceful Coexistence	https://www.un.org/en/observances/peaceful-coexistence-day
un.world-wetlands-day	World Wetlands Day	https://www.un.org/en/observances/world-wetlands-day
un.human-fraternity	International Day of Human Fraternity	https://www.un.org/en/observances/human-fraternity
un.female-genital-mutilation-day	International Day of Zero Tolerance to Female Genital Mutilation	https://www.un.org/en/observances/female-genital-mutilation-day
un.arabian-leopard-day	International Day of the Arabian Leopard	https://www.un.org/en/observances/arabian-leopard-day
un.world-pulses-day	World Pulses Day	https://www.fao.org/world-pulses-day/en
un.women-and-girls-in-science-day	International Day of Women and Girls in Science	https://www.un.org/en/observances/women-and-girls-in-science-day/
un.prevention-extremism-when-conducive-terrorism-day	International Day for the Prevention of Violent Extremism as and when Conducive to Terrorism	https://www.un.org/en/observances/prevention-extremism-when-conducive-terrorism-day
un.tourism-resilience-day	Global Tourism Resilience Day	https://www.un.org/en/observances/tourism-resilience-day
un.seagrass-day	World Seagrass Day	https://www.un.org/en/observances/seagrass-day
un.zero-discrimination-day	Zero Discrimination Day	https://www.unaids.org/en/zero-discrimination-day
un.world-wildlife-day	World Wildlife Day	https://www.un.org/en/observances/world-wildlife-day
un.disarmament-non-proliferation-awareness-day	International Day for Disarmament and Non-Proliferation Awareness	https://www.un.org/en/observances/disarmament-non-proliferation-awareness-day
un.women-judges-day	International Day of Women Judges	https://www.un.org/en/observances/women-judges-day
un.anti-islamophobia-day	International Day to Combat Islamophobia	https://www.un.org/en/observances/anti-islamophobia-day
un.french-language-day	French Language Day	https://www.un.org/fr/observances/french-language-day/
